日期,基金代码,基金名称,基金份额(亿份),ETF收盘价
20230320,510300,沪深300ETF华泰柏瑞,168.763877,3.9363
20230320,510310,沪深300ETF易方达,83.443074,1.8748
20230320,510500,中证500ETF南方,75.057686,6.1804
20230322,510050,上证50ETF华夏,203.046668,2.658
20230322,510300,沪深300ETF华泰柏瑞,165.58687700000002,3.9962
20230322,510310,沪深300ETF易方达,83.763074,1.9034
20230322,510500,中证500ETF南方,75.781686,6.2892
20230323,510050,上证50ETF华夏,203.118668,2.675
20230323,510300,沪深300ETF华泰柏瑞,165.127877,4.0358
20230323,510310,沪深300ETF易方达,83.843074,1.9222
20230323,510500,中证500ETF南方,75.149686,6.3248
20230329,510050,上证50ETF华夏,201.993668,2.642
20230329,510300,沪深300ETF华泰柏瑞,163.075877,4.003
20230329,510310,沪深300ETF易方达,83.503074,1.9066
20230329,510500,中证500ETF南方,73.601686,6.2795
20230404,510050,上证50ETF华夏,204.495668,2.682
20230404,510300,沪深300ETF华泰柏瑞,163.70587700000002,4.0996
20230404,510310,沪深300ETF易方达,82.423074,1.9527
20230404,510500,中证500ETF南方,78.005686,6.428
20230407,510050,上证50ETF华夏,205.917668,2.691
20230407,510300,沪深300ETF华泰柏瑞,163.417877,4.1199
20230407,510310,沪深300ETF易方达,82.403074,1.9623
20230407,510500,中证500ETF南方,76.11768599999999,6.4833
20230412,510050,上证50ETF华夏,206.673668,2.671
20230412,510300,沪深300ETF华泰柏瑞,163.237877,4.0937
20230412,510310,沪深300ETF易方达,82.083074,1.95
20230412,510500,中证500ETF南方,75.065686,6.4625
20230413,510050,上证50ETF华夏,205.287668,2.675
20230413,510300,沪深300ETF华泰柏瑞,162.472877,4.0654
20230413,510310,沪深300ETF易方达,82.003074,1.9366
20230413,510500,中证500ETF南方,74.12968599999999,6.4239
20230419,510050,上证50ETF华夏,204.297668,2.726
20230419,510300,沪深300ETF华泰柏瑞,160.789877,4.1207
20230419,510310,沪深300ETF易方达,81.723074,1.9631
20230419,510500,中证500ETF南方,72.093686,6.4354
20230425,510050,上证50ETF华夏,205.809668,2.624
20230425,510300,沪深300ETF华泰柏瑞,164.749877,3.9586
20230425,510310,沪深300ETF易方达,82.063074,1.8863
20230425,510500,中证500ETF南方,74.213686,6.1375
20230426,510050,上证50ETF华夏,200.634668,2.623
20230426,510300,沪深300ETF华泰柏瑞,167.971877,3.9562
20230426,510310,沪深300ETF易方达,82.443074,1.8851
20230426,510500,中证500ETF南方,74.449686,6.1616
20230428,510050,上证50ETF华夏,198.915668,2.683
20230428,510300,沪深300ETF华泰柏瑞,168.124877,4.0258
20230428,510310,沪深300ETF易方达,82.483074,1.9184
20230428,510500,中证500ETF南方,76.033686,6.2625
20230504,510050,上证50ETF华夏,193.569668,2.697
20230504,510300,沪深300ETF华泰柏瑞,167.539877,4.0267
20230504,510310,沪深300ETF易方达,82.423074,1.919
20230504,510500,中证500ETF南方,75.50168599999999,6.2836
20230510,510050,上证50ETF华夏,196.179668,2.678
20230510,510300,沪深300ETF华泰柏瑞,165.199877,3.9931
20230510,510310,沪深300ETF易方达,82.043074,1.9031
20230510,510500,中证500ETF南方,74.153686,6.2001
20230516,510050,上证50ETF华夏,203.208668,2.674
20230516,510300,沪深300ETF华泰柏瑞,170.221877,3.9753
20230516,510310,沪深300ETF易方达,84.883074,1.8948
20230516,510500,中证500ETF南方,74.845686,6.1405
20230517,510050,上证50ETF华夏,206.889668,2.653
20230517,510300,沪深300ETF华泰柏瑞,172.489877,3.9573
20230517,510310,沪深300ETF易方达,85.143074,1.8862
20230517,510500,中证500ETF南方,75.433686,6.1516
20230519,510050,上证50ETF华夏,204.162668,2.637
20230519,510300,沪深300ETF华泰柏瑞,169.420877,3.943
20230519,510310,沪深300ETF易方达,85.763074,1.8795
20230519,510500,中证500ETF南方,75.445686,6.1539
20230522,510050,上证50ETF华夏,199.878668,2.662
20230522,510300,沪深300ETF华泰柏瑞,169.033877,3.9676
20230522,510310,沪深300ETF易方达,86.203074,1.8913
20230522,510500,中证500ETF南方,75.545686,6.1533
20230524,510050,上证50ETF华夏,196.683668,2.581
20230524,510300,沪深300ETF华泰柏瑞,167.197877,3.8581
20230524,510310,沪深300ETF易方达,87.523074,1.839
20230524,510500,中证500ETF南方,76.869686,6.0444
20230525,510050,上证50ETF华夏,198.267668,2.567
20230525,510300,沪深300ETF华泰柏瑞,167.701877,3.8495
20230525,510310,沪深300ETF易方达,88.183074,1.8349
20230525,510500,中证500ETF南方,77.277686,6.0266
20230531,510050,上证50ETF华夏,209.175668,2.501
20230531,510300,沪深300ETF华泰柏瑞,173.542877,3.8011
20230531,510310,沪深300ETF易方达,88.883074,1.8121
20230531,510500,中证500ETF南方,76.87368599999999,6.0948
20230606,510050,上证50ETF华夏,212.334668,2.527
20230606,510300,沪深300ETF华泰柏瑞,177.655877,3.814
20230606,510310,沪深300ETF易方达,90.863074,1.8184
20230606,510500,中证500ETF南方,79.725686,6.0339
20230607,510050,上证50ETF华夏,213.630668,2.519
20230607,510300,沪深300ETF华泰柏瑞,177.835877,3.7962
20230607,510310,沪深300ETF易方达,92.643074,1.81
20230607,510500,中证500ETF南方,80.113686,6.0355
20230609,510050,上证50ETF华夏,220.227668,2.559
20230609,510300,沪深300ETF华泰柏瑞,180.904877,3.8452
20230609,510310,沪深300ETF易方达,94.363074,1.8336
20230609,510500,中证500ETF南方,80.665686,6.0752
20230612,510050,上证50ETF华夏,216.519668,2.558
20230612,510300,沪深300ETF华泰柏瑞,180.715877,3.8533
20230612,510310,沪深300ETF易方达,94.443074,1.8375
20230612,510500,中证500ETF南方,81.037686,6.0922
20230614,510050,上证50ETF华夏,213.594668,2.567
20230614,510300,沪深300ETF华泰柏瑞,180.787877,3.8795
20230614,510310,沪深300ETF易方达,94.763074,1.85
20230614,510500,中证500ETF南方,81.23368599999999,6.1134
20230615,510050,上证50ETF华夏,212.946668,2.603
20230615,510300,沪深300ETF华泰柏瑞,180.634877,3.9421
20230615,510310,沪深300ETF易方达,95.003074,1.8799
20230615,510500,中证500ETF南方,81.357686,6.17
20230621,510050,上证50ETF华夏,216.384668,2.554
20230621,510300,沪深300ETF华泰柏瑞,181.408877,3.8898
20230621,510310,沪深300ETF易方达,95.583074,1.855
20230621,510500,中证500ETF南方,81.121686,6.0704
20230627,510050,上证50ETF华夏,225.762668,2.542
20230627,510300,沪深300ETF华泰柏瑞,183.118877,3.8738
20230627,510310,沪深300ETF易方达,97.043074,1.8476
20230627,510500,中证500ETF南方,81.613686,6.0269
20230628,510050,上证50ETF华夏,225.780668,2.55
20230628,510300,沪深300ETF华泰柏瑞,183.037877,3.8725
20230628,510310,沪深300ETF易方达,97.103074,1.847
20230628,510500,中证500ETF南方,80.74568599999999,6.0233
20230630,510050,上证50ETF华夏,226.860668,2.54
20230630,510300,沪深300ETF华泰柏瑞,185.215877,3.8804
